Area,Tote Colour,Loop,Suffix,Number,Asset Code
Module Loop Blue,Blue,Module,C0904,ACH133,C0904ACH133
Module Loop Blue,Blue,Module,C0904,ACH143,C0904ACH143
Module Loop Blue,Blue,Module,C0904,ACL127,C0904ACL127
Module Loop Blue,Blue,Module,C0904,ACL128,C0904ACL128
Module Loop Blue,Blue,Module,C0904,ACL135,C0904ACL135
Module Loop Blue,Blue,Module,C0904,RDC136,C0904RDC136
Module Loop Blue,Blue,Module,C0904,ACL210,C0904ACL210
Module Loop Blue,Blue,Module,C0904,BCL204,C0904BCL204
Module Loop Blue,Blue,Module,C0904,RDC131,C0904RDC131
Module Loop Blue,Blue,Module,C0904,RDC129,C0904RDC129
Module Loop Blue,Blue,Module,C0904,RDC138,C0904RDC138
Module Loop Blue,Blue,Module,C0904,STA139,C0904STA139
Module Loop Blue,Blue,Module,C0904,RDC140,C0904RDC140
Module Loop Blue,Blue,Module,C0904,RDC142,C0904RDC142
Module Loop Blue,Blue,Module,C0904,ACL145,C0904ACL145
Module Loop Blue,Blue,Module,C0904,RDC146,C0904RDC146
Module Loop Blue,Blue,Module,C0904,RDC148,C0904RDC148
Module Loop Blue,Blue,Module,C0904,RDC202,C0904RDC202
Module Loop Blue,Blue,Module,C0904,RDC205,C0904RDC205
Module Loop Blue,Blue,Module,C0904,RDC209,C0904RDC209
Module Loop Blue,Blue,Module,C0904,RDC211,C0904RDC211
Module Loop Blue,Blue,Module,C0904,RDC212,C0904RDC212
Module Loop Blue,Blue,Module,C0904,RDC214,C0904RDC214
Module Loop Blue,Blue,Module,C0904,STA124,C0904STA124
Module Loop Blue,Blue,Module,C0904,STA126,C0904STA126
Module Loop Blue,Blue,Module,C0904,STA130,C0904STA130
Module Loop Blue,Blue,Module,C0904,STA132,C0904STA132
Module Loop Blue,Blue,Module,C0904,STA149,C0904STA149
Module Loop Blue,Blue,Module,C0904,STA141,C0904STA141
Module Loop Blue,Blue,Module,C0904,STA144,C0904STA144
Module Loop Blue,Blue,Module,C0904,RDC150,C0904RDC150
Module Loop Blue,Blue,Module,C0904,STA151,C0904STA151
Module Loop Blue,Blue,Module,C0904,STA201,C0904STA201
Module Loop Blue,Blue,Module,C0904,STA203,C0904STA203
Module Loop Blue,Blue,Module,C0904,STA208,C0904STA208
Module Loop Blue,Blue,Module,C0904,STA213,C0904STA213
Module Loop Blue,Blue,Module,C1001,ACH086,C1001ACH086
Module Loop Blue,Blue,Module,C1001,BCH009,C1001BCH009
Module Loop Blue,Blue,Module,C1001,BCH021,C1001BCH021
Module Loop Blue,Blue,Module,C1001,BCL008,C1001BCL008
Module Loop Blue,Blue,Module,C1001,RDC003,C1001RDC003
Module Loop Blue,Blue,Module,C1001,RDC004,C1001RDC004
Module Loop Blue,Blue,Module,C1001,RDC007,C1001RDC007
Module Loop Blue,Blue,Module,C1001,STA005,C1001STA005
Module Loop Blue,Blue,Module,C1002,ACH023,C1002ACH023
Module Loop Blue,Blue,Module,C1002,ACH025,C1002ACH025
Module Loop Blue,Blue,Module,C1002,ACH033,C1002ACH033
Module Loop Blue,Blue,Module,C1002,ACH043,C1002ACH043
Module Loop Blue,Blue,Module,C1002,ACL027,C1002ACL027
Module Loop Blue,Blue,Module,C1002,ACL028,C1002ACL028
Module Loop Blue,Blue,Module,C1002,ACL035,C1002ACL035
Module Loop Blue,Blue,Module,C1002,ACL045,C1002ACL045
Module Loop Blue,Blue,Module,C1002,RDC031,C1002RD031
